user_input,emotion_label,trust_delta,escalation_label
I am not clear on what changed since last time,confused,0,1
What does success look like for this task,confused,0,1
I am unsure whether to follow the old or new process,confused,0,1
Could you define what you mean by quality here,confused,0,1
I do not know if I should escalate this or handle it myself,confused,0,1
What is the deadline exactly end of day or tomorrow,confused,0,1
I am not sure if this falls under my responsibilities,confused,0,1
Can you clarify the scope of the deliverable,confused,0,1
I do not understand what is blocking this,confused,0,1
Who should I coordinate with on this,confused,0,1
I am not certain which direction to take,confused,0,1
Could you give me an example of what you expect,confused,0,1
I do not understand the priority order,confused,0,1
What is the difference between these two options,confused,0,1
I am unsure about the approval workflow,confused,0,1
Can you repeat that more slowly please,confused,0,1
I do not know the context behind this request,confused,0,1
What is the expected level of detail here,confused,0,1
I am not sure which tool I should use for this,confused,0,1
Could you clarify what you mean by urgent,confused,0,1
I do not understand the decision that was made,confused,0,1
What exactly needs to be fixed in my previous work,confused,0,1
I am confused about who the final decision maker is,confused,0,1
